id,uni_id,name,type,state,district
39230,3,"Aazad College of Education","Affiliated College","Andhra Pradesh","Prakasam"
39450,3,"Abhinav Institute of Management & Technology","Affiliated College","Andhra Pradesh","Prakasam"
32630,3,"Abhyudaya Mahila Degree College","Affiliated College","Andhra Pradesh","Guntur"
32735,3,"A.B.M. College","Affiliated College","Andhra Pradesh","Prakasam"
39231,3,"A.B.R College of Education","Affiliated College","Andhra Pradesh","Prakasam"
32762,3,"A.C.College (Day)","Affiliated College","Andhra Pradesh","Guntur"
32792,3,"A.C.College of Law","Affiliated College","Andhra Pradesh","Guntur"
32720,3,"A.C.Evening College","Affiliated College","Andhra Pradesh","Guntur"
32793,3,"Acharya N.G.Ranga College of Education","Affiliated College","Andhra Pradesh","Guntur"
32801,3,"Adarsa College of Education","Affiliated College","Andhra Pradesh","Prakasam"
32733,3,"Adarsa Degree College for Women","Affiliated College","Andhra Pradesh","Guntur"
32664,3,"A.G.K.M.College","Affiliated College","Andhra Pradesh","Guntur"
32711,3,"A.L.College of Education","Affiliated College","Andhra Pradesh","Guntur"
39243,3,"Ali College of Education","Affiliated College","Andhra Pradesh","Guntur"
39261,3,"AL Momin College of Education","Affiliated College","Andhra Pradesh","Prakasam"
39238,3,"Alpha College of Education","Affiliated College","Andhra Pradesh","Prakasam"
44489,3,"Alpha College of Education, Kanigiri","Affiliated College","Andhra Pradesh","Prakasam"
32797,3,"Alpha Degree College","Affiliated College","Andhra Pradesh","Prakasam"
39227,3,"Aman Showkath B.Ed College","Affiliated College","Andhra Pradesh","Guntur"
32649,3,"A.M.G.College of Education","Affiliated College","Andhra Pradesh","Guntur"
32769,3,"A.M.G.Degree College for Women","Affiliated College","Andhra Pradesh","Guntur"
37211,3,"A.M Reddy College of Education","Affiliated College","Andhra Pradesh","Guntur"
39491,3,"A.M. Reddy Memorial College of Pharmacy","Affiliated College","Andhra Pradesh","Guntur"
39232,3,"Amrutha College of Education","Affiliated College","Andhra Pradesh","Prakasam"
44105,3,"Amrutha Degree College","Affiliated College","Andhra Pradesh","Prakasam"
39275,3,"Andhra Kesari College of Education","Affiliated College","Andhra Pradesh","Prakasam"
32631,3,"Andhra Kesari Vidya Kendram Degree College","Affiliated College","Andhra Pradesh","Prakasam"
32727,3,"Andhra Muslim College","Affiliated College","Andhra Pradesh","Guntur"
36923,3,"Andhra Muslim College of Education","Affiliated College","Andhra Pradesh","Guntur"
39241,3,"Anitha Venkateswara College of Eduation","Affiliated College","Andhra Pradesh","Guntur"
32656,3,"Annabattuni Satyanarayana Degree College","Affiliated College","Andhra Pradesh","Guntur"
32740,3,"Anniebesant College of Education","Affiliated College","Andhra Pradesh","Prakasam"
32629,3,"ANU PG Campus Ongole","PG Center / Off-Campus Center","Andhra Pradesh","Prakasam"
