id,name
736,"ADESH UNIVERSITY"
4,"Acharya NG Ranga Agricultural University, Hyderabad"
3,"Acharya Nagarjuna University, Guntur"
5,"Adikavi Nannaya University, Rajahmundry, East Godawari"
122,"Ahmedabad University"
435,"Alagappa University, Alagappa Nagar, Karaikudi"
567,"Aliah University, Kolkata"
496,"Aligarh Muslim University, Aligarh"
436,"Amrita Vishwa Vidyapeetham, Coimbatore"
123,"Anand Agricultural University, Anand"
6,"Andhra University, Visakhapatnam"
439,"Anna University, Chennai"
57,"Aryabhatta Knoweledge University , Patna"
48,"Assam Agricultural University, Jorhat"
49,"Assam Don Bosco University, Guwahati"
50,"Assam University, Silchar"
268,"Awadesh Pratap Singh University, Rewa"
81,"Ayush and Health Science University of Chattisgarh, Raipur"
214,"B.L.D.E. University, Bijapur"
636,"BILASPUR VISHWAVIDYALAYA"
371,"Baba Farid University of Health & Medical Sciences, Faridkot"
58,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur"
177,"Baddi University of Emerging Sciences and Technology, Budha (Makhnumajra), Solan"
500,"Banaras Hindu University, Banaras"
215,"Bangalore University, Bangalore"
269,"Barkatullah University, Bhopal"
82,"Bastar Vishwavidyalaya, Bastar"
350,"Berhampur University, Berhampur"
157,"Bhagat Phool Singh Mahila University, Khanpur Kalan, Sonipat"
447,"Bharathiar University, Coimbatore"
448,"Bharathidasan University, Tiruchirappalli"
292,"Bharati Vidyapeeth, Pune"
59,"Bhupendra Narayan Mandal University, Madhepura"
60,"Bihar Agriculture University, Sabour"
351,"Biju Patnaik University of Technology, Rourkela"
202,"Birla Institute of Technology, Ranchi"
502,"Bundelkhand University, Jhansi"
569,"Burdwan University, Burdwan"
634,"CHHATTISGARH KAMDHENU VISHWAVIDALAYA"
570,"Calcutta University, Kolkata"
251,"Calicut University, Thenhipalem, Malapuram"
125,"Carlox Teacher's University, Ahmedabad"
336,"Central Agricultural University, Imphal"
293,"Central Institute of Fisheries Education, Fishries University, Mumbai"
353,"Centurion University of Technology and Management"
160,"Ch. Devi Lal University, Sirsa"
504,"Chandra Shekhar Azad University of Agriculture & Technology, Kanpur"
128,"Charotar University of Science & Technology, Anand"
505,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur"
159,"Chaudhary Charan Singh Haryana Agricultural University, Hisar"
451,"Chettinad Academy of Research & Education, Kancheepuram"
83,"Chhattisgarh Swami Vivekanand Technical University, Bhilai"
373,"Chitkara University, Patiala"
506,"Choudhary Charan Singh University, Meerut"
253,"Cochin University of Science & Technology, Kochi"
294,"D.Y. Patil Educational Society , Kolhapur"
295,"Datta Meghe Institute of Medical Sciences, Nagpur"
218,"Davangere University, Davangere"
507,"Dayalbagh Educational Institute, Agra"
508,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur"
161,"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat)"
270,"Devi Ahilya Vishwavidyalaya, Indore"
51,"Dibrugarh University, Dibrugarh"
1,"Dr Y S R Horticulture University"
509,"Dr. B. R. Ambedkar University, Agra"
298,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad"
300,"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri"
301,"Dr. D.Y.Patil Vidyapeeth, Pune"
271,"Dr. Harisingh Gaur Vishwavidyalaya, Sagar"
8,"Dr. N.T.R. University of Health Sciences, Vijaywada"
302,"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola"
510,"Dr. Ram Manohar Lohia Awadh University, Faizabad"
181,"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan"
9,"Dr.B.R.Ambedkar University, Etcherla"
354,"Fakir Mohan University, Balasore"
553,"Forest Research Institute, Dehradun"
554,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar"
513,"G.L.A University, Mathura"
658,"GONDWANA UNIVERSITY, GADCHIROLI"
11,"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam"
132,"Ganpat Univeristy, Vidyanagar, Gandhinagar"
52,"Gauhati University, Guwahati"
549,"Gautam Buddh Technical University, Lucknow"
514,"Gautam Buddha University, Greater Noida, Gautam Budh Nagar"
121,"Goa University, Goa"
133,"Gujarat Ayurveda University, Jamnagar"
135,"Gujarat Technological University, Ahmedbabd"
136,"Gujarat University, Ahmedabad"
137,"Gujarat Vidyapith, Ahmedabad"
219,"Gulbarga University, Gulbarga"
375,"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana"
99,"Guru Gobind Singh Indraprastha University"
162,"Guru Jambheshwar University of Science and Technology, Hissar"
376,"Guru Nanak Dev University, Amritsar"
558,"HIHT University, Dehradun"
138,"Hemchandracharya North Gujart University, Patan"
557,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal"
598,"Himachal Pradesh Technical University, Hamirpur"
183,"Himachal Pradesh University , Shimla"
304,"Homi Bhabha Natioanal Institute Knowledge Management Group, Mumbai"
607,"Homoeopathy University, Jaipur"
12,"ICFAI Foundation for Higher Education, Hyderabad"
663,"INDUS UNIVERSITY"
102,"Indian Institute of Foreign Trade, Delhi"
516,"Indian Institute of Information Technology, Allahabad"
560,"Indian Institute of Technology, Roorkee"
574,"Indian Statistical Institute, Kolkata"
65,"Indira Gandhi Institute of Medical Sciences, Patna"
87,"Indira Gandhi Krishi Vishwavidyalaya, Raipur"
290,"Indira Gandhi National Tribal University, Amarkantak"
88,"Indira Kala Sangit Vishwavidyalaya, Khairagarh"
519,"Integral University, Lucknow"
520,"Invertis University, Bareily"
